DateUnix;DateLong;Close;Deflator
33159;1990-10-13;327.600006;23.54380358
33160;1990-10-14;327.600006;23.54380358
33161;1990-10-15;329.5;23.40804308
33162;1990-10-16;325.399994;23.70298198
33163;1990-10-17;326.799988;23.60143965
33164;1990-10-18;334;23.09266525
33165;1990-10-19;337.399994;22.85995949
33166;1990-10-20;337.399994;22.85995949
33167;1990-10-21;337.399994;22.85995949
33168;1990-10-22;341.100006;22.61199079
33169;1990-10-23;341.100006;22.61199079
33170;1990-10-24;341;22.61862227
33171;1990-10-25;339.700012;22.70518081
33172;1990-10-26;334.399994;23.06504286
33173;1990-10-27;334.399994;23.06504286
33174;1990-10-28;334.399994;23.06504286
33175;1990-10-29;330.799988;23.31605343
33176;1990-10-30;329.799988;23.38675099
33177;1990-10-31;329.799988;23.38675099
33178;1990-11-01;330.600006;23.33015746
33179;1990-11-02;336.5;22.92110013
33180;1990-11-03;336.5;22.92110013
33181;1990-11-04;336.5;22.92110013
33182;1990-11-05;340.799988;22.63189691
33183;1990-11-06;340.5;22.65183611
33184;1990-11-07;336.799988;22.90068429
33185;1990-11-08;336.399994;22.92791419
33186;1990-11-09;342;22.55248595
33187;1990-11-10;342;22.55248595
33188;1990-11-11;342;22.55248595
33189;1990-11-12;351.5;21.9429593
33190;1990-11-13;352.899994;21.85590911
33191;1990-11-14;356.899994;21.61095636
33192;1990-11-15;354.5;21.7572643
33193;1990-11-16;350.899994;21.9804797
33194;1990-11-17;350.899994;21.9804797
33195;1990-11-18;350.899994;21.9804797
33196;1990-11-19;352.700012;21.86830148
33197;1990-11-20;348.299988;22.14456061
33198;1990-11-21;348.799988;22.11281669
33199;1990-11-22;348.799988;22.11281669
33200;1990-11-23;349;22.10014383
33201;1990-11-24;349;22.10014383
33202;1990-11-25;349;22.10014383
33203;1990-11-26;348.899994;22.10647844
33204;1990-11-27;354.100006;21.78184147
33205;1990-11-28;355.100006;21.72050145
33206;1990-11-29;355.799988;21.67776969
33207;1990-11-30;359.100006;21.47855769
33208;1990-12-01;359.100006;21.47855769
33209;1990-12-02;359.100006;21.47855769
33210;1990-12-03;361.299988;21.34777318
33211;1990-12-04;364.100006;21.18360359
33212;1990-12-05;370.899994;20.79522869
33213;1990-12-06;372.299988;20.71703047
33214;1990-12-07;371.5;20.76164252
33215;1990-12-08;371.5;20.76164252
33216;1990-12-09;371.5;20.76164252
33217;1990-12-10;371.5;20.76164252
33218;1990-12-11;368;20.95910379
33219;1990-12-12;370.399994;20.8233
33220;1990-12-13;371.5;20.76164252
33221;1990-12-14;368.799988;20.91364004
33222;1990-12-15;368.799988;20.91364004
33223;1990-12-16;368.799988;20.91364004
33224;1990-12-17;365.700012;21.09092136
33225;1990-12-18;370.200012;20.83454874
33226;1990-12-19;371.200012;20.77842119
33227;1990-12-20;372.299988;20.71703047
33228;1990-12-21;373.600006;20.6449413
33229;1990-12-22;373.600006;20.6449413
33230;1990-12-23;373.600006;20.6449413
33231;1990-12-24;372.399994;20.71146702
33232;1990-12-25;372.399994;20.71146702
33233;1990-12-26;372.399994;20.71146702
33234;1990-12-27;371.100006;20.78402067
33235;1990-12-28;371.200012;20.77842119
